DATE,AXIOMA_ID,NAME,PRICE,CURRENCY,TSO,RETURN,COUNTRY
2023-09-28,SP6S8NVS5,NIO INC,1832.0,ARS,6081807360.0,0.094384707,AR
2023-09-28,JN4US2196,GEELY AUTOMOBILE H,1.1144,EUR,10063000000.0,0.004507122,AT
2023-09-28,CBT1V11P8,MGC PHARMACEUTICALS LTD,0.002,AUD,4427968187.0,1.00000022,AU
2023-09-28,HYZXUX1U6,MEDIBIO LTD,0.0015,AUD,6100743763.0,0.50000019,AU
2023-09-28,N66RMM7T5,FIRST LITHIUM LIMITED,0.265,AUD,99071667.0,0.472222167,AU
2023-09-28,J5WUBN5F8,XANTIPPE RESOURCES,0.001,AUD,17528000000.0,-0.33333342,AU
2023-09-28,23HA5YF80,EDEN INNOVATIONS,0.002,AUD,3363636845.0,-0.33333332,AU
2023-09-28,5QU4CWU68,BIKEEXCHANGE LTD,0.006,AUD,1432629753.0,-0.25000001,AU
2023-09-28,287C3CJD1,NETEASE INC,49.69,BRL,6459801050.0,-0.00420824,BR
2023-09-28,3MTF8XGR9,NXP SEMICONDUCTORS,508.0,BRL,257802134.0,0.052522728,BR
2023-09-28,3WQUHFV73,NOMURA HOLDINGS,20.78,BRL,3163562601.0,-0.00892968,BR
2023-09-28,VTTH4JQ44,ALIBABA GROUP HLDG,15.35,BRL,2705636601.0,-0.00839787,BR
2023-09-28,TFG7MZKS0,ALLKEM LIMITED,10.19,CAD,639321000.0,0.070378095,CA
2023-09-28,88M64T3G3,PERSEUS MINING LTD,1.41,CAD,1373026000.0,0.029197082,CA
2023-09-28,RG7QQ3479,CHAMPION IRON LTD,5.33,CAD,517296000.0,0.026975031,CA
2023-09-28,BX4TX2HU5,MACARTHUR MINERALS LTD,0.14,CAD,166053000.0,-0.06666661,CA
2023-09-28,F7QVNJ8M1,NEWCREST MNG LTD,21.34,CAD,894231000.0,-0.01020413,CA
2023-09-28,JKNAYQKT0,CHINA GOLD INTL RES CORP LTD,5.83,CAD,396414000.0,-0.01018682,CA
2023-09-28,YRLTRC9C8,NATL AUSTRALIA BK,13.3235,CHF,3129356361.0,0.0,CH
2023-09-28,GK3HAVLH0,ZHEJIANG HANGKE TE,9.8,USD,12625697.0,0.0,CH
2023-09-28,YBLKPPY11,ZHEJIANG HUAYOU CO,11.2,USD,1698705765.0,0.0,CH
2023-09-28,YRLTRC9C8,NATL AUSTRALIA BK,13.3235,CHF,3129356361.0,0.0,CH
2023-09-28,GK3HAVLH0,ZHEJIANG HANGKE TE,9.8,USD,12625697.0,0.0,CH
2023-09-28,YBLKPPY11,ZHEJIANG HUAYOU CO,11.2,USD,1698705765.0,0.0,CH
2023-09-28,XFRKJKP64,GUANGDONG GREEN PR,10.79,CNY,413380000.0,0.200222496,CN
2023-09-28,Q5HRRKYN4,SHENZHEN LIANDE AU,29.38,CNY,177744815.0,0.200163799,CN
2023-09-28,PQHBNU7F3,HENGBO HOLDINGS CO,40.57,CNY,103380000.0,0.199941154,CN
2023-09-28,JHN9FFQZ5,ANHUI WANBANG PHAR,75.02,CNY,66666667.0,-0.14749994,CN
2023-09-28,922G3FSW4,XUCHANG YUANDONG D,7.62,CNY,624261047.0,-0.10035423,CN
