"DATE","AXIOMA_ID","NAME","PRICE","CURRENCY","TSO","RETURN","COUNTRY"
"2023-09-28","F76YAXGF6","MINMETALS LAND LTD",.37,"HKD",3346908037,0,"HK"
"2023-09-28","2YDMNSKV6","CHINA WATER INDUST",.171,"HKD",2873609649,0,"HK"
"2023-09-28","92LBLRLG0","RED HILL MINERALS",4.7,"AUD",63828149,0,"AU"
"2023-09-28","Q7MQL47A6","ADMIRALTY RESOR NL",.006,"AUD",1303579153,0,"AU"
"2023-09-28","DK4ZQTQS1","RICH DEVELOPMENT CO., LTD.",9.35,"TWD",743993000,.003218884,"TW"
"2023-09-28","4Z342ZX37","HAAD THIP",16.5,"THB",401921000,-.01197587,"TH"
"2023-09-28","2YLW2C8W5","TYCOONS GROUP ENT. CO., LTD.",12.55,"TWD",337168000,-.00790514,"TW"
"2023-09-28","HXK8DV3L0","YEO HIAP SENG",.64,"SGD",618619164,0,"SG"
"2023-09-28","XVSCDMGT8","TAKE SOLUTIONS",22,"INR",147934000,-.0045252,"IN"
"2023-09-28","KN8JKYG71","LAI SUN GARMT INTL",1.08,"HKD",883373901,0,"HK"
"2023-09-28","2RD1TRPB2","RECTRON LTD.",17.5,"TWD",166303000,.008645533,"TW"
"2023-09-28","3V2PRT877","VE WONG CORPORATION",41.55,"TWD",240000000,0,"TW"
"2023-09-28","89PP45R64","XTEP INTERNATIONAL",7.06,"HKD",2638492151,.004267525,"HK"
"2023-09-28","FGZ3A5D90","BYD ELECTRONIC INT",35.35,"HKD",2253204500,.011445208,"HK"
"2023-09-28","K925BHW36","NEWAY GROUP HLDGS",.249,"HKD",253359456,0,"HK"
"2023-09-28","G7LN91UN1","JSW HOLDINGS LIMIT",4981.75,"INR",11099625,.045553914,"IN"
"2023-09-28","Z8ASTZUH5","KT&G CORPORATION",31.8,"USD",274584994,0,"LU"
"2023-09-28","D3JACVWK8","CENTURY PROP GROUP",.335,"PHP",1.1600E+10,.018059703,"PH"
"2023-09-28","J7GNNCH25","BAJAJ AUTO LTD",5006.6016,"INR",282957358,-.00523504,"IN"
"2023-09-28","TTUQZLTG6","CHIA HER INDUSTRIAL CO., LTD",16.15,"TWD",80871000,-.04719764,"TW"
"2023-09-28","SJV4P94U1","RED MOUNTAIN MININ",.004,"AUD",2673576037,0,"AU"
"2023-09-28","384Q1VAF6","YUAN JEN ENTERPRISES CO., LTD.",20.4,"TWD",181830000,-.00244499,"TW"
"2023-09-28","UM863D9Y4","SIMPLEX INFRASTRUC",63.05,"INR",57142820,0,"IN"
"2023-09-28","XN1RX5452","GOLDLION HLDGS",1,"HKD",978436035,0,"HK"
"2023-09-28","4YBRFUG51","ABICO AVY CO., LTD.",24.05,"TWD",168959000,.008385744,"TW"
"2023-09-28","XCN3XHHS5","MAOYE INTL HOLDS L",.168,"HKD",5140326000,.012048072,"HK"
"2023-09-28","P2HTMVQU2","HABIB BANK",90.44,"PKR",1466852508,-.00077334,"PK"
"2023-09-28","24JC7TYS6","EMPIRE EAST LAND",.125,"PHP",1.4676E+10,.016259915,"PH"
"2023-09-28","HXF3DZNF9","SINOTRUK (HK) LTD",14.86,"HKD",2760993339,-.00402151,"HK"
"2023-09-28","Z1MU3Q2H1","JINDAL DRILLING",608.3,"INR",28981104,.031104401,"IN"
"2023-09-28","KCLKLLYJ8","DAWOOD HERCULES CO",111.15,"PKR",481287116,-.00510213,"PK"
"2023-09-28","FQWTWSFH0","WAN HWA ENTERPRISE CO., LTD.",12.35,"TWD",449968000,0,"TW"
"2023-09-28","FNHCJV5X5","IMDEX LTD",1.515,"AUD",508776713,.010000267,"AU"
"2023-09-28","JFF6W96A6","HL GLOBAL ENTERPRI",.26,"SGD",96334254,0,"SG"
"2023-09-28","TPZ5VXMS4","SADBHAV ENGINEERIN",13.2,"INR",171570800,.047618964,"IN"
"2023-09-28","K7BLBM369","MERMAID MARITIME P",.082,"SGD",1413329000,.064934994,"SG"
"2023-09-28","MPKSYH178","BRIGADE ENTERPRISE",573.8001,"INR",230850476,-.01763405,"IN"
"2023-09-28","UP2W35K12","NZ OIL & GAS",.36,"NZD",223950838,-.0136986,"NZ"
"2023-09-28","UKP8HJZU6","CHINA FIN ONLINE CO LTD ADR",.0001,"USD",2442000,0,"US"
"2023-09-28","KJW8G12B0","PARAGON TECHNOLOGIES CO., LTD.",35.3,"TWD",84042000,.026162791,"TW"
"2023-09-28","4UH6B69G0","SOUTH CHINA FINANC",.36,"HKD",301277070,-.027027,"HK"
"2023-09-28","TN15MVX33","COURAGE INVESTMENT",.01,"SGD",1097703568,0,"SG"
"2023-09-28","UX2XTSTG3","MIC ELECTRONICS LT",24.7,"INR",221446343,.002028641,"IN"
"2023-09-28","MGVPYR7R0","BAJAJ FINSERV LTD",1539.7,"INR",1595488813,-.01663739,"IN"
"2023-09-28","Q6WBXXRC7","QUINTAIN STEEL CO., LTD.",13.45,"TWD",446875000,-.02888087,"TW"
"2023-09-28","AHC7JBKM0","PAKISTAN REINS CO",5.96,"PKR",900000000,-.00666665,"PK"
"2023-09-28","RY1RUT142","FORMOSA ADVANCED TECHNOLOGIES CO., LTD.",38.55,"TWD",442222000,.001298701,"TW"
"2023-09-28","1K7MCSMP7","ITE TECH. INC.",157,"TWD",161080000,-.00632911,"TW"
"2023-09-28","W5THQX6X8","SCOTT TECHNOLOGY",3.2,"NZD",81198794,-.00928783,"NZ"
"2023-09-28","YYX93T8L4","STATE TRD CORP IND",120.3,"INR",60000000,-.01069079,"IN"
"2023-09-28","ZWC95YKV1","TAIWAN SAKURA CORP.",63.9,"TWD",221121000,0,"TW"
"2023-09-28","DLJ9LQDY3","YIP'S CHEMICAL HLD",1.6,"HKD",568484096,0,"HK"
"2023-09-28","A1Y6CAGU9","JVCKENWOOD CORPORA",704,"JPY",164000201,.01734104,"JP"
"2023-09-28","PL6AS2KL7","NEW ORIENTAL ED & TECHNOLOGY ADR",58.83,"USD",170262600,.004610663,"US"
"2023-09-28","X4WHG1542","GREAT EASTERN ENER",.035,"GBP",119123900,0,"GB"
"2023-09-28","M4V4HAPF6","ISETAN MITSUKOSHI",1689.5,"JPY",397006154,-.01963615,"JP"
"2023-09-28","NYH9W3FY3","CONS CONSTRUCT CON",1.5,"INR",398511188,0,"IN"
"2023-09-28","D16MQVY72","PERSOL HOLDINGS CO",245.9,"JPY",2331998610,0,"JP"
"2023-09-28","RX6QGX4A1","PHINMA CORPORATION",20.2,"PHP",286325265,0,"PH"
"2023-09-28","TFGBWFL87","SHO-BOND HOLDINGS",5905,"JPY",56745180,.001356622,"JP"
"2023-09-28","8F6FHT3J5","TIDEHOLD DEVELOPMENT CO., LTD.",11.75,"TWD",98050000,.004273504,"TW"
"2023-09-28","JZWXM16H7","CHINA AOYUAN GROUP",.255,"HKD",2965571354,-.07272721,"HK"
"2023-09-28","FSY59UCD9","SEROJA INVESTMENTS",.079,"SGD",390388110,0,"SG"
"2023-09-28","18US1DPB8","LUK FOOK HLDGS",20.45,"HKD",587107850,0,"HK"
"2023-09-28","SDT7Q6A87","TITANIUM SANDS LTD",.0055,"AUD",1771804701,-.08333349,"AU"
"2023-09-28","HP1FFC225","ORANGE SKY GOLDEN",.049,"HKD",2799669050,0,"HK"
"2023-09-28","LB189NN27","AYALALAND LOGISTIC",1.81,"PHP",6301591987,-.03723388,"PH"
"2023-09-28","S6LCGKQP4","EVER GOTESCO RES",.28,"PHP",5000000000,.01818182,"PH"
"2023-09-28","S93XK4A96","SUMISEKI HOLDINGS",585,"JPY",58892853,.077348066,"JP"
"2023-09-28","P16UVZ8V2","UNI-PRESIDENT CHIN",5.48,"HKD",4319334000,-.00904163,"HK"
"2023-09-28","WTNZ76976","PRECIOUS SHIPPING",16.75,"THB",1559291862,0,"TH"
"2023-09-28","BCVV3MRV2","LEE CHI ENT. CO., LTD.",15,"TWD",225685000,-.00332226,"TW"
"2023-09-28","GF9R8SN40","HORIZON OIL LTD",.18,"AUD",1618375962,0,"AU"
"2023-09-28","DW5L78936","WEI CHIH STEEL INDUSTRIAL CO., LTD.",23.75,"TWD",325715000,-.01247401,"TW"
"2023-09-28","RR5NZBKK9","RELIANCE IND INFRA",957.3999,"INR",15100000,-.01038819,"IN"
"2023-09-28","BJ9NQAQX8","INSPUR DIGITAL ENT",1.79,"HKD",1141920731,-.02185792,"HK"
"2023-09-28","WV6337DR4","GEOVISION INC.",47,"TWD",89822000,.008583691,"TW"
"2023-09-28","M8X9Z9JY3","USHA MARTIN",348.8001,"INR",304741780,.003452099,"IN"
"2023-09-28","4T82G51F9","FORMOSA OILSEED PROCESSING CO., LTD.",53.8,"TWD",229638000,0,"TW"
"2023-09-28","7VBM1SAL6","DA CIN CONSTRUCTION CO., LTD.",33.2,"TWD",338492000,-.003003,"TW"
"2023-09-28","ZCWQKUH40","WANT WANT CHINA HO",5.07,"HKD",1.1879E+10,0,"HK"
"2023-09-28","HQGPFJYN9","SOLID GROUP INC",.97,"PHP",1821542000,.010416698,"PH"
"2023-09-28","NGC1DYGX8","WAI KEE HOLDINGS",1.25,"HKD",793124034,.024589912,"HK"
"2023-09-28","YD1SVLVZ2","CAPITAL INDUSTRIAL",.131,"HKD",3984639703,-.01503782,"HK"
"2023-09-28","D1F54YRQ3","REC LTD",281.3001,"INR",2633224000,-.01072639,"IN"
"2023-09-28","CVW28ZB11","TAISUN ENTERPRISE CO., LTD.",22.35,"TWD",499999000,-.00223214,"TW"
"2023-09-28","LQ3GJ8S13","THAI VEGETABLE OIL",21.6,"THB",889471248,.004651488,"TH"
"2023-09-28","L1L2T9GH4","NATIONAL UNITED RE",.093,"HKD",3687628409,-.01063816,"HK"
"2023-09-28","549FKU7S9","RFM CORP",3.13,"PHP",3369549358,.00643103,"PH"
"2023-09-28","STXS15370","JIMOTO HLDGS INC",447,"JPY",21540263,-.01973684,"JP"
"2023-09-28","NZT8MYWX5","CHINA ASIA VALLEY",.139,"HKD",2819102084,0,"HK"
"2023-09-28","RFCR4T8Z4","CHAINQUI CONSTRUCTION DEVELOPMENT CO., LTD.",14.75,"TWD",224551000,0,"TW"
"2023-09-28","XZMXJ9NH0","JSL CONSTRUCTION & DEVELOPMENT CO., LTD.",83.6,"TWD",391607000,.025766871,"TW"
